id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
287397,Bed Stuy Pride! Welcome to Brooklyn,1029021,Jameelah,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,30,45
43747226,3 minutes walk from the Rebbe's Ohel.,47900722,Sagee,Queens,Cambria Heights,Entire home/apt,132,1,2
39627727,Sonder *Weekly Specials* 1BR at One Platt,219517861,Sonder (NYC),Manhattan,Financial District,Entire home/apt,320,2,66
49475686,Simple 1BR/1BA! Chelsea Location!,367911371,Alexandra,Manhattan,Chelsea,Entire home/apt,179,2,10
36882448,Gorgeous sunny bedroom in Harlem,39750809,Mikayla,Manhattan,Harlem,Private room,60,30,4
22011311,"Modern, Cozy Apartment in the Heart of Bushwick!",97336460,Jillian,Brooklyn,Bushwick,Private room,100,30,0
49559924,Private room|Exit door|Prime Bushwick|,392549053,B,Brooklyn,Bushwick,Private room,65,1,2
40492690,"A Clean, Bright Room in Luxurious Apartment",7206421,Hyun,Queens,Woodside,Private room,50,30,1
40416287,Triplex located in the heart of Striver's Row,312541461,Sonali,Manhattan,Harlem,Entire home/apt,450,2,6
37576889,Brownstone Manor,115854410,Michelle,Brooklyn,Bedford-Stuyvesant,Private room,87,3,6
25262795,Brooklyn apartment,102888703,Hany,Brooklyn,Gravesend,Entire home/apt,100,30,2
38575482,204 - COZY STUDIO unit in luxury amenity building,278925199,Paradise,Manhattan,Upper East Side,Entire home/apt,139,30,1
12547481,Big 1BR apt near Central Park & Times Square!,43436738,Abe & Gail,Manhattan,Midtown,Entire home/apt,150,30,1
41106757,Heart of East Village-Fully Furnished Lovely Room,316201557,Yaxin,Manhattan,Nolita,Private room,97,30,0
10755419,"Hip, renovated 1-bedroom",55617221,Chad,Manhattan,Civic Center,Entire home/apt,100,30,0
50035451,Cosy queen bdr near ocean 20 min to JFK 40min NYC,132245692,Stay With US!,Queens,Rockaway Beach,Private room,65,30,0
8054651,Private Sunlight Room in Brownstone Near Subway,40176101,Brady,Brooklyn,Bedford-Stuyvesant,Private room,74,1,407
40682851,Huge 2 Bedroom Very convenient location,136081476,Rachel,Manhattan,Harlem,Entire home/apt,120,30,1
47555590,Furnished Room in Prime Upper West Side Location,305240193,June,Manhattan,Upper West Side,Private room,87,30,0
10921091,Stuido apt near Lincoln Center,56607815,Jonathan,Manhattan,Upper West Side,Entire home/apt,150,30,0
