,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
583,Caleb Swanigan,PF,22,TOT,27,1,288,3.5,5.9,.596,0.0,0.2,.000,3.5,5.6,.622,1.1,2.1,.529,3.4,9.1,12.5,3.9,0.4,0.9,4.6,7.7,8.1
584,Caleb Swanigan,PF,22,SAC,7,0,23,3.1,6.3,.500,0.0,0.0,,3.1,6.3,.500,1.6,3.1,.500,3.1,7.8,11.0,3.1,1.6,3.1,9.4,12.5,7.8
585,Caleb Swanigan,PF,22,POR,20,1,265,3.5,5.8,.605,0.0,0.3,.000,3.5,5.6,.634,1.1,2.0,.533,3.4,9.2,12.6,3.9,0.3,0.7,4.2,7.3,8.2
586,Jayson Tatum,PF,21,BOS,66,66,2265,8.8,19.5,.450,3.0,7.5,.403,5.8,12.0,.480,4.0,5.0,.812,1.0,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6
587,Jeff Teague,PG,31,TOT,59,17,1464,5.2,12.0,.436,1.1,2.9,.368,4.2,9.1,.457,4.2,4.8,.873,0.7,2.8,3.5,7.6,1.1,0.5,2.9,2.6,15.8
588,Jeff Teague,PG,31,MIN,34,13,945,5.5,12.3,.448,1.3,3.3,.379,4.3,9.0,.473,4.8,5.5,.868,0.6,2.8,3.4,7.9,1.0,0.5,2.9,2.7,17.1
589,Jeff Teague,PG,31,ATL,25,4,519,4.7,11.4,.412,0.7,2.1,.333,4.0,9.4,.430,3.3,3.7,.887,0.8,2.9,3.7,6.9,1.3,0.4,2.8,2.5,13.4
590,Garrett Temple,SG,33,BRK,62,35,1730,4.6,12.2,.378,2.6,8.0,.329,2.0,4.2,.473,1.5,1.8,.805,0.6,3.9,4.5,3.2,1.0,0.6,1.3,2.2,13.3
591,Daniel Theis,C,27,BOS,65,64,1566,5.5,9.8,.566,0.7,2.2,.333,4.8,7.6,.633,2.0,2.6,.763,3.2,6.6,9.8,2.6,0.9,1.9,1.2,5.0,13.8
592,Isaiah Thomas,PG,30,WAS,40,37,925,6.8,16.6,.408,3.0,7.4,.413,3.7,9.2,.405,2.4,3.0,.816,0.4,2.2,2.6,5.7,0.5,0.2,3.0,3.0,19.0
