,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
192,Andre Drummond,C,26,CLE,8,225,,,,,100%,-16.6,-9.2,12,6,13,6,20,0,33,7,11
193,,,,,,,,,,,,,,,,,,,,,,
194,Jared Dudley,SF,34,LAL,45,364,,,18%,79%,3%,3.7,-2.3,6,1,19,0,0,5,67,0,2
195,Kris Dunn,PG,25,CHI,51,1269,81%,19%,,,,-0.6,4.6,37,12,65,11,23,8,420,8,20
196,Carsen Edwards,SG,21,BOS,37,351,12%,87%,1%,,,-6.1,-14.0,10,0,18,2,6,4,54,1,7
197,Henry Ellenson,PF,23,BRK,5,15,,,,22%,78%,36.9,37.7,0,0,1,0,0,0,3,0,1
198,Wayne Ellington,SG,32,NYK,36,558,12%,85%,3%,,,-2.1,5.1,7,6,20,3,4,3,106,1,5
199,Joel Embiid,C,25,PHI,51,1506,,,,,100%,5.2,5.0,50,56,80,31,177,9,361,44,42
200,James Ennis,SF,29,TOT,69,1265,,3%,84%,13%,,0.9,0.3,21,17,64,15,46,11,149,8,21
201,James Ennis,SF,29,PHI,49,776,,5%,92%,3%,,1.6,-0.9,12,8,41,8,26,7,95,5,15
202,James Ennis,SF,29,ORL,20,489,,,71%,29%,,-0.2,1.0,9,9,23,7,20,4,54,3,6
203,Drew Eubanks,PF,22,SAS,22,272,,,1%,14%,85%,-11.5,-11.3,9,5,24,5,11,2,38,1,8
204,Jacob Evans,SG,22,TOT,29,418,24%,65%,11%,,,-10.3,-3.8,17,3,27,2,14,6,74,1,11
205,Jacob Evans,SG,22,GSW,27,414,25%,65%,11%,,,-11.3,-2.9,17,3,27,2,14,6,74,1,11
206,Jacob Evans,SG,22,MIN,2,4,,100%,,,,74.7,79.5,0,0,0,0,0,0,0,0,0
207,Dante Exum,SG,24,TOT,35,485,7%,69%,24%,1%,,-9.6,-7.5,18,6,14,3,21,8,93,3,9
208,Dante Exum,SG,24,UTA,11,83,19%,34%,47%,,,-7.8,-10.3,7,0,4,1,1,0,15,0,3
209,Dante Exum,SG,24,CLE,24,402,4%,76%,19%,1%,,-10.0,-2.2,11,6,10,2,20,8,78,3,6
210,Tacko Fall,C,24,BOS,7,33,,,,,100%,14.8,8.4,0,2,6,0,2,0,2,1,1
211,Derrick Favors,C,28,NOP,51,1243,,,,,100%,4.5,9.0,28,4,69,12,39,3,210,14,25
212,Cristiano Felício,PF,27,CHI,22,386,,,,8%,92%,-8.4,-5.7,8,4,14,4,12,0,42,3,7
213,Terrance Ferguson,SF,21,OKC,56,1257,,3%,89%,8%,,-4.4,-9.4,14,6,67,6,9,17,127,2,5
214,Bruno Fernando,C,21,ATL,56,713,,,,11%,89%,-6.4,2.0,20,13,65,6,24,3,119,8,20
215,Yogi Ferrell,PG,26,SAC,50,530,100%,,,,,-2.6,-0.6,14,4,11,3,13,16,170,1,10
